metodo,k,RMSE,MAE,tiempo
global_mean,3,1.1032813514966413,0.9026830910953791,0.36550188064575195
global_mean,6,1.0881831631340302,0.8896619266358382,0.29557251930236816
global_mean,9,1.0795395482045165,0.8822616985325007,0.31513047218322754
global_mean,12,1.0786455154336183,0.8816105161130064,0.3068051338195801
global_mean,15,1.0805606993856098,0.8831690738064283,0.32828283309936523
user_mean,3,2.46762799519241,2.1963479405759982,0.31148266792297363
user_mean,6,2.4001418872101974,2.1264293139776425,0.3449430465698242
user_mean,9,2.366786291295431,2.090909042470237,0.31554174423217773
user_mean,12,2.3608040918557034,2.0854885272920503,0.2961733341217041
user_mean,15,2.3630810329934775,2.0878891568359346,0.3101036548614502
item_mean,3,2.428537838081323,2.152991726227429,0.33044004440307617
item_mean,6,2.35483173922053,2.0760466223021132,0.32639360427856445
item_mean,9,2.3219884720964528,2.0404959811259817,0.3089315891265869
item_mean,12,2.3106904347021695,2.0299801888466553,0.3152425289154053
item_mean,15,2.309775918406742,2.0292385658898175,0.33045268058776855
zero,3,2.46762799519241,2.1963479405759982,0.2972524166107178
zero,6,2.4001418872101974,2.1264293139776425,0.31821370124816895
zero,9,2.366786291295431,2.090909042470237,0.30702781677246094
zero,12,2.3608040918557034,2.0854885272920503,0.2902045249938965
zero,15,2.3630810329934775,2.0878891568359346,0.2766239643096924
