k,lambda,RMSE,MAE,time
3,0.001,0.956691682255803,0.7387109991348665,17.34873366355896
3,0.01,0.957474814829411,0.7386339661377405,16.893683433532715
3,0.1,0.9490565346315302,0.7350976188233218,17.54407262802124
3,1.0,0.9344419689457593,0.7273374114223692,16.961575508117676
3,10.0,0.9655951419303759,0.760942220987704,17.03556227684021
6,0.001,1.028035816275128,0.7796316677949626,17.32168436050415
6,0.01,1.02062772609241,0.7747335136133384,17.13794469833374
6,0.1,1.0082922043755056,0.7684799579539539,17.11299777030945
6,1.0,0.9705697651956696,0.7466739608363802,16.95581293106079
6,10.0,0.960276256079259,0.7529897066597865,17.409827947616577
9,0.001,1.1079334430827956,0.828778800285625,16.296998739242554
9,0.01,1.0950810400513793,0.8219421440884069,17.407539129257202
9,0.1,1.073464770938598,0.8077258963830727,17.11989974975586
9,1.0,1.0145512077240086,0.7755857833725824,17.201375246047974
9,10.0,0.961911064050778,0.7525030141137907,25.774928092956543
12,0.001,1.1840943745300074,0.8830404209011138,54.7268922328949
12,0.01,1.1611732670102874,0.8698096575732821,29.965237140655518
12,0.1,1.1311727640475395,0.8469494691125529,16.352411031723022
12,1.0,1.0510985500987644,0.798489291139187,16.036346912384033
12,10.0,0.9653159200565743,0.7545077924772554,16.315917015075684
15,0.001,1.2373850939418256,0.9230235378780733,16.799798011779785
15,0.01,1.2010619210580176,0.9006726569261398,16.066251039505005
15,0.1,1.1743271065047676,0.8813726342864289,16.41085124015808
15,1.0,1.0844560323623949,0.8245222057556021,16.225528478622437
15,10.0,0.9694764533151813,0.7584046809508572,16.239511251449585
