k,iteration,train_rmse,test_rmse
3,1,1.942919756520451,2.0081365461699203
3,2,0.9203309707744194,1.0078517240613627
3,3,0.8601269870503028,0.9672060699091587
3,4,0.8452381019876789,0.9600797535631249
3,5,0.8384596800523161,0.9557307781621753
3,6,0.8344960918288364,0.9534459454653097
3,7,0.8316215332769714,0.9528836648133736
3,8,0.829831426860702,0.9518607140245249
3,9,0.8284823399055606,0.950419750662777
3,10,0.8274312790297793,0.9504534107100541
3,11,0.8266528514906661,0.949664446922211
3,12,0.8260077907873014,0.9492373098849339
3,13,0.825457302822843,0.949190673743216
3,14,0.8249791182295797,0.9494980325129183
3,15,0.8245689642936522,0.9499357878970468
3,16,0.8242250946549623,0.9500962581201853
3,17,0.8238445429758533,0.9500537501411267
3,18,0.8235961966744353,0.9497967069049159
3,19,0.8233908405836451,0.9492366302767644
3,20,0.8231978653581871,0.9490565346315302
3,21,0.8230219815641462,0.9489200644360879
3,22,0.822874823198524,0.9487060333398777
3,23,0.8227504970091554,0.9487078723243806
3,24,0.8226383076651042,0.9487461530438352
3,25,0.8225384055868202,0.9487545825076311
3,26,0.8224437224085723,0.9487938738795155
3,27,0.8223676463730496,0.9487973489441527
3,28,0.8223087256200239,0.9486960638055342
3,29,0.8222553899096434,0.9485564952673039
3,30,0.8222073652386332,0.9484177906613146
6,1,2.0938194140701483,2.2334984506634243
6,2,0.8905115634153705,1.062251505386696
6,3,0.7927980936384873,1.0028050349844666
6,4,0.7701578925851372,0.9992479094973487
6,5,0.760106530194855,0.9997241518125923
6,6,0.7545012667496023,1.000445044468816
6,7,0.7509305731672025,1.0015090283568575
6,8,0.7484221220612864,1.0030211005066336
6,9,0.746585739094743,1.004069414350645
6,10,0.745202442154375,1.004721518555053
6,11,0.7441073369508153,1.0049107249705203
6,12,0.7431952745079073,1.0053725404598644
6,13,0.7423780211272294,1.0055978755141919
6,14,0.7417004268195186,1.006056166679015
6,15,0.7411317402137587,1.0064228359571799
6,16,0.7406711855562287,1.0067730698606747
6,17,0.7402825803511673,1.007256429533252
6,18,0.7399461494408827,1.0077984697533766
6,19,0.7396446040842996,1.0080810224452066
6,20,0.7393716302189406,1.0082922043755056
6,21,0.7391165254670551,1.0086311227202753
6,22,0.7388718808218062,1.0091344910630151
6,23,0.7386379416372238,1.0098448207700925
6,24,0.7384183818542559,1.0106247480763306
6,25,0.7382162666129437,1.0112074826717834
6,26,0.7380323557435794,1.0116980986809696
6,27,0.7378659299434004,1.012103700818596
6,28,0.73771404534506,1.0125081164439949
6,29,0.737573817544929,1.0128630074157885
6,30,0.7374438996639184,1.0131743530583392
9,1,1.484300864901486,1.7147173858074363
9,2,0.7853846951821047,1.0373847918760668
9,3,0.7344240224081257,1.0409993024388136
9,4,0.7147510199105456,1.0486637355013917
9,5,0.7035900259424542,1.052591234603176
9,6,0.6965357753546112,1.0557418326212529
9,7,0.6917569726058276,1.0580084460194095
9,8,0.6881577210237905,1.0602888881487071
9,9,0.6853039123096707,1.0624716102910248
9,10,0.6830327284349408,1.0647691192912194
9,11,0.6811761671426202,1.066799135757149
9,12,0.6796080162077192,1.0680202848024134
9,13,0.6782688518764973,1.0687740367945817
9,14,0.6771096948461468,1.0695204939589014
9,15,0.6760814560037819,1.0703741136626619
9,16,0.6751485712250811,1.0713315671795323
9,17,0.6743016627490483,1.0721527370885944
9,18,0.6735220036420436,1.0726773456860486
9,19,0.6727856102720112,1.0732132080899734
9,20,0.672133217720747,1.073464770938598
9,21,0.6715477430087627,1.0734921472064547
9,22,0.6710225190303264,1.073379135311541
9,23,0.6705517263396655,1.0732818775387205
9,24,0.6701250983980901,1.0730891342060351
9,25,0.6697361338765692,1.0731478041939475
9,26,0.6693786540895408,1.0731023693043888
9,27,0.6690476778117173,1.073208399793974
9,28,0.668742726084037,1.0734835567304013
9,29,0.6684606418298887,1.0737425318310994
9,30,0.6681940799533137,1.0739497149755033
12,1,1.5322571636851878,1.821339129972155
12,2,0.7518773867781151,1.069524644781325
12,3,0.6903610553691076,1.0649612190904014
12,4,0.6670548303242312,1.0761642543494345
12,5,0.6540447643604343,1.086389364930255
12,6,0.6452745180126805,1.0936624733868983
12,7,0.6388510373305252,1.0994456075877976
12,8,0.6338562214983402,1.1039055364062231
12,9,0.6298092163114619,1.1080330787892265
12,10,0.6265314537780692,1.111919490564242
12,11,0.6238716899996081,1.11522352568811
12,12,0.6217109230017388,1.11789254463877
12,13,0.6199270402723815,1.12007572628886
12,14,0.6184175389062094,1.1221323053844587
12,15,0.6170989170061516,1.1239432927304642
12,16,0.6159272992147844,1.1258546912307141
12,17,0.6148729205215593,1.127349342566838
12,18,0.613922277870538,1.1286652107633768
12,19,0.6130637080883415,1.1300334396890366
12,20,0.6122855884811551,1.1311727640475395
12,21,0.6115760224312661,1.1323311840556842
12,22,0.6109315394107897,1.1334801088840076
12,23,0.6103446110201847,1.1346695292416187
12,24,0.609808914573222,1.135829156551633
12,25,0.6093146076682947,1.1366910222357955
12,26,0.6088531065645172,1.1374559656956282
12,27,0.6084175786928134,1.1381780248239837
12,28,0.608004996937397,1.1387781955356835
12,29,0.6076161274689573,1.1390771549820948
12,30,0.6072496462362298,1.1393527046063479
15,1,1.5673540771276062,1.8950325858926274
15,2,0.7389449478643826,1.1126456836376166
15,3,0.6582439988594534,1.113691008748406
15,4,0.6262971666296232,1.12516141038668
15,5,0.6086435386141876,1.1344611994604752
15,6,0.5973898929967332,1.1401444218949057
15,7,0.5895440879188096,1.1449709860496424
15,8,0.5836816911220518,1.1492674691437714
15,9,0.5790695588015926,1.1528739196919267
15,10,0.5753394173624028,1.1557987609848057
15,11,0.5722990008088049,1.1586009858596973
15,12,0.5698000437251172,1.1611778271531323
15,13,0.5676860830959051,1.1637713546078934
15,14,0.5658428324947093,1.1659971833979859
15,15,0.5642073832889555,1.1677221452849325
15,16,0.5627439581913376,1.169281660464323
15,17,0.5614324277210987,1.170783872835242
15,18,0.5602444221165995,1.17221315758247
15,19,0.5591527927095834,1.1734205799448003
15,20,0.5581565786393916,1.1743271065047676
15,21,0.5572579967390234,1.1749977039510946
15,22,0.5564406201600912,1.175453737906591
15,23,0.5556927622805793,1.1757886315746953
15,24,0.5550037183392614,1.1759550606563
15,25,0.5543671348947354,1.176117109784051
15,26,0.5537765789158267,1.1764244322783468
15,27,0.5532259109571813,1.1767560852232752
15,28,0.5527107911724077,1.1771228300567003
15,29,0.5522243353983057,1.177627861223776
15,30,0.5517624626935612,1.1781006721137117
