iteration,train_rmse,test_rmse
1,2.4505218211684663,2.4773083693948195
2,1.0975103576555572,1.145115251707055
3,1.0335005368229264,1.082707698293043
4,1.0017787055606537,1.0522562814626066
5,0.9809159424340106,1.0320055764523761
6,0.9661561840372551,1.017342308142095
7,0.955285355616053,1.0063463371422574
8,0.9470851763560763,0.997958915372388
9,0.9408081568680051,0.9914999854268929
10,0.9359573924687524,0.9864748642876464
11,0.9321637269926357,0.9825251062357303
12,0.9291737276021117,0.9793947271150079
13,0.926792540797581,0.9768932420956477
14,0.9248828593502579,0.9748733526379807
15,0.923338286902945,0.9732367992451135
16,0.922082573130848,0.9719032688666644
17,0.9210525600914921,0.9708137821990428
18,0.9202047359006172,0.9699194708752475
19,0.9195029741097097,0.9691814903214934
20,0.9189186073984936,0.9685698636486274
21,0.9184298629880219,0.968060864428677
22,0.9180194001484796,0.9676359193766972
23,0.9176733712566625,0.9672789715551678
24,0.917380714572468,0.9669790174687483
25,0.9171323850639143,0.966726287178058
26,0.9169210321924263,0.9665127816513164
27,0.9167406125328332,0.9663319678087636
28,0.9165863364257418,0.9661784863111464
29,0.916454149219125,0.9660478002221614
30,0.9163406782381187,0.9659362356769479
